2000-02-15,71,Because You Love Me,Jo Dee Messina
2000-02-15,72,Otherside,Red Hot Chili Peppers
2000-02-15,73,What's My Name,DMX
2000-02-15,74,If You Love Me,Mint Condition
 
2000-02-15,75,Dancin',Guy
2000-02-15,76,Put Your Hand In Mine,Tracy Byrd
2000-02-15,77,I Need A Hot Girl,Hot Boys
2000-02-15,78,Stay The Night
 ,IMx
2000-02-15,79,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe
2000-02-15,80,When I Said I Do,Clint Black
2000-02-15,81,No Leaf Clover,Metallica
2000-02-15,82,Girl On TV,LFO
 
2000-02-15,83,I Learned From The Best,Whitney Houston
2000-02-15,84,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil
2000-02-15,85,The Best Man I Can Be,Ginuwine, R.L., Tyrese, Case
2000-02-15,86,Do What You Gotta Do,Garth Brooks
2000-02-15,87,Been There,Clint Black With Steve Wariner
2000-02-15,88,Angels,Robbie Williams
2000-02-15,89,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi
2000-02-15,90,Caught Out There,Kelis
2000-02-15,91,Candy,Mandy Moore
2000-02-15,92,Smoke Rings In The Dark,Gary Allan
2000-02-15,93,Re-arranged,Limp Bizkit
2000-02-15,94,Deep Inside,Mary J. Blige
2000-02-15,95,Pop A Top,Alan Jackson
2000-02-15,96,Breathe And Stop,Q-Tip
2000-02-15,97,Guerrilla Radio,Rage Against The Machine
2000-02-15,98,Left, Right, Left,Drama
2000-02-15,99,Freakin' It,Will Smith
2000-02-15,100,U Understand,Juvenile
2000-03-15,1,Say My Name,Destiny's Child
2000-03-15,2,Amazed,Lonestar
 
2000-03-15,3,Maria Maria,Santana Featuring The Product G&B
2000-03-15,4,Breathe,Faith Hill
2000-03-15,5,Bye Bye Bye,'N Sync
2000-03-15,6,Show Me The Meaning Of Being Lonely,Backstreet Boys
2000-03-15,7,That's The Way It Is,Celine Dion
2000-03-15,8,I Knew I Loved You,Savage Garden
2000-03-15,9,Get It On Tonite,Montell Jordan
2000-03-15,10,Smooth,Santana Featuring Rob Thomas
2000-03-15,11,All The Small Things,Blink-182
2000-03-15,12,There You Go,P!nk
2000-03-15,13,What A Girl Wants,Christina Aguilera
2000-03-15,14,It Feels So Good,Sonique
2000-03-15,15,Hot Boyz,Missy "Misdemeanor" Elliott Featuring NAS, EVE & Q-Tip
2000-03-15,16,Thong Song,Sisqo
2000-03-15,17,Bring It All To Me,Blaque
2000-03-15,18,Back At One,Brian McKnight
